anon_sname,age_year,birth,start_date,end_date,statdate,avg_resid_log_gc,avg_resid_log_e,avg_resid_log_p,avg_resid_log_th,avg_log_trichuris_resid,avg_richness_resid,avg_log_cycling_resid,avg_preg_resid,any_misc,any_off_survive,sci_f_dir_resid,sci_f_rec_resid,sci_f_resid,sci_m_dir_resid,sci_m_rec_resid,agi_f_dir_resid,agi_f_rec_resid,agi_f_resid,agi_m_rec_resid,agi_m_resid,dsi_f_resid,recip_f_resid,recip_m_resid,not_bonded_m_resid,not_bonded_f_resid,strongly_bonded_f_resid,weakly_bonded_f_resid,total_grooming_partners_f_resid,total_grooming_partners_resid,eigen_resid,avg_mom_rel_rank,rank_rel_any_daughter,cat_abs_active_rank_change,per_groom_resid,per_be_groomed_infant_resid,per_kc_dorsal_resid,per_kc_ventral_resid,per_kc_support_resid,per_kc_away_none_resid,per_ks_suckle_resid,per_no_neighbors_resid,ni_per_groom_resid,ni_per_other_soc_resid,ni_per_rest_resid,ni_per_forage_resid,ni_per_no_neighbors_resid,major_health_event_cat,limp_cat,puncture_cat
1,4,1998-09-10,2002-09-10,2003-09-09,2008-02-08,-0.2573245498524488,0.2866318742536994,-0.04646167775542796,NA,NA,NA,1.676418803886249,NA,no_preg,no_off_birth,1.0213514243859791,-0.48567522178385675,0.32718685368249584,0.066821283957153,0.4985290222444385,-0.3726709950543443,0.7579921221439727,0.13111480782345208,-0.9547960747220644,-1.0618816889709608,0.272029495556666,-0.29116256038398597,0.33109529928260795,-2.572539473693229,-1.2325424268343426,0.39527922175180885,-1.0390470984366242,0.3098127690849708,-2.683164229067801,0.5096022417032666,at_moms_rank,no_alive_daughter,no_change,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,5,1998-09-10,2003-09-10,2004-09-09,2008-02-08,0.10055093292695916,0.6700759521187996,0.04554545589475634,NA,NA,NA,NA,NA,no_preg,no_off_birth,1.2600985518643013,-0.27827611267553987,0.490770982229476,1.4579202196387926,1.3171831543592742,0.2562707937916593,0.5510461101048179,0.7904296742899953,1.0131783390416125,0.5379295647493153,0.5175327603789077,-0.21321176010760434,0.13211442069538704,1.0663304745610027,3.1898935974385676,0.36842369451080836,-2.0878976541543333,-0.7619030960992532,3.2160157236296776,0.515462337928054,at_moms_rank,no_alive_daughter,no_change,NA,NA,NA,NA,NA,NA,NA,NA,0.03160743926438429,0.0015729552066715237,0.040263097303752576,-0.08452535707270947,-0.11944453049961584,0,0,0
1,6,1998-09-10,2004-09-10,2005-09-09,2008-02-08,-0.14771342787058475,0.05162450521556762,0.1104156786683624,-0.11727241422750775,NA,NA,NA,-1.3599076237662757,successful_preg,off_survived,1.4632727355589268,1.6022063897673848,1.6843802625849729,1.747093144220676,0.8521313684803884,0.1439699574804545,1.1330456895409728,1.2972641626505705,1.322310230426401,1.265560043440581,1.1292662073639799,0.14532805518591352,-0.3411383619695845,3.77443890090843,-2.267419324803198,2.3471595919056125,-2.1265773352412234,3.1813125592102622,6.14382842672739,0.5209976868617857,at_moms_rank,no_alive_daughter,no_change,0.029389957098277207,-4.358700334661199e-5,0.04084288934454173,0.10774719895323662,0.14395988115603273,-0.14134153332410015,0.06549538825366447,-0.11562720289209219,0.0536074392643843,-4.2704479332847644e-4,0.03626309730375257,-0.13828103874177122,-0.11826802274628367,0,0,0
1,7,1998-09-10,2005-09-10,2006-09-09,2008-02-08,0.3149088605620328,-0.02004881788308546,0.22055850576563718,-0.217428870549336,NA,NA,0.836341191472532,5.645826749597603,successful_preg,no_off_birth,1.1503175328256756,0.18977824671311122,0.7399230494303041,1.3784738854510472,1.5751519432894558,0.15995060815205187,1.0993186585771013,1.1154275866451104,1.5105126457046318,2.527363552104792,0.5196475054552347,0.017056134501375553,0.12801590432334653,0.8048400663324471,-1.2208652696544036,0.349324258936055,-0.12263977756708222,1.187093155790281,2.150294921822395,0.48576528352042414,at_moms_rank,no_alive_daughter,no_change,-0.0022643971862264627,-4.358700334661199e-5,-0.019482489240243834,-0.09525280104676337,-0.12104011884396726,0.12365846667589986,-0.1305046117463355,-0.07337519039719398,-0.02939256073561571,-4.2704479332847644e-4,-0.04273690269624744,0.22559680209275967,-0.087093603179344,0,0,0
1,8,1998-09-10,2006-09-10,2007-09-09,2008-02-08,-0.32367935459306735,-0.7107350288487703,0.1533823723991769,-0.22908617008415888,NA,NA,NA,NA,no_preg,off_survived,1.2127130982168157,0.9360784779802107,1.2350287182114181,1.0379400144919284,1.0438113653232184,0.23987861651955744,1.024712384563345,1.2918608739560389,0.44236476681890113,0.35513613898523066,0.5912508346231276,0.10801332545856657,0.24680324724862046,0.33633216482285677,-2.9583795117484515,0.3150313759801038,0.8149810192794238,2.0955163362857814,2.0310145931161045,-0.4710776815196034,at_moms_rank,focal_above_daughters_rank,no_change,0.017389957098277203,-4.358700334661199e-5,0.005842889344541725,0.004747198953236623,0.0059598811560327425,-0.0013415333241001415,0.053495388253664455,-0.1236272028920922,0.048607439264384295,-4.2704479332847644e-4,-0.08473690269624745,0.013718961258228801,0.01673197725371628,0,0,0
1,9,1998-09-10,2007-09-10,2008-09-09,2008-02-08,0.08319758972587916,-0.9359652663416476,-0.7936781475495588,-0.2922752200917329,NA,NA,NA,NA,no_preg,no_off_birth,0.8654439710316467,0.4188435827138401,0.7318257673744872,-0.15078166939680324,0.08896767110675534,0.2588702272767722,0.7630748847787385,0.9444536123370789,-0.45434307790883066,-0.6029995799089283,-0.2583189327847357,0.07598785533785835,-0.19220219175681857,-1.1384333997336689,-2.1302073727856996,-1.6464603368467685,2.8850280979036125,1.1983501070250533,2.1660670702938596,0.5194047736113799,at_moms_rank,focal_above_daughters_rank,no_change,-0.01926439718622646,-4.358700334661199e-5,0.036517510759756164,-0.08725280104676338,-0.05704011884396726,0.061658466675899914,-0.1295046117463355,-0.149375190397194,NA,NA,NA,NA,NA,0,0,0
2,4,1997-01-26,2001-01-26,2002-01-25,2018-12-06,-0.26122443521097,-0.7734013916721699,NA,NA,NA,NA,0.7261729742466025,-7.0370390620662135,successful_preg,no_off_birth,0.039115593608926164,-0.7987466300519912,-0.40307796230839454,-0.14206962175747953,-0.015329017113251745,-0.0879060753894092,0.4756836596777708,0.14658844915707792,-0.4603832328806632,-0.6208746767648439,-0.4648974378606603,-0.05825250747393307,0.19668669713207032,-2.0136804519374025,-0.3381381044274079,-0.563132831883236,1.036601920584855,-0.5791294390484687,-2.5265483216711715,-0.34638641970481143,at_moms_rank,no_alive_daughter,no_change,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
2,5,1997-01-26,2002-01-26,2003-01-25,2018-12-06,0.037002649069407714,-0.009405570571228308,NA,NA,NA,NA,NA,NA,no_preg,off_survived,-0.4785842315418599,-0.2172450466363522,-0.428991532754728,-0.9060346148698433,-0.07535618546127108,-0.3414173292677679,0.5462401316750845,-0.0028489772630785337,-1.4091263096411815,-1.41192177078005,0.21583719185857242,0.0724492469120318,0.163353363798737,-2.0958619578771933,-0.4395601068558257,0.4321512553113913,0.02802361343819837,0.40827703545729754,-2.5201521641082767,0.5044374152365125,at_moms_rank,no_alive_daughter,no_change,0.01142689424476621,-4.358700334661199e-5,-0.02413324640981495,0.16974719895323664,0.13595988115603272,-0.15534153332410017,0.14549538825366448,-0.027255947516093837,-0.005392560735615708,-4.2704479332847644e-4,-0.05073690269624745,0.03935248376182138,0.06942965552147518,0,0,0
2,6,1997-01-26,2003-01-26,2004-01-25,2018-12-06,-0.1055052911055412,0.4451487615771677,-0.3712696722100003,NA,NA,NA,-0.8792569167899589,-3.024561697564053,successful_preg,off_died,0.07656733149997502,-0.06709189357267775,1.7549368985692732e-4,-1.8643896454244075,-0.6553840460957622,-0.08837046980837004,0.5431780077847815,0.16247507350950774,-1.3564632305026705,-1.40303080793212,0.01184096810737234,0.1201472599120671,-0.03664663620126307,-2.693903077508037,-1.235879471243086,1.3951240561064613,-1.0393293467773672,0.3093984097464588,-2.530563400856993,0.08707004472062263,at_moms_rank,focal_above_daughters_rank,no_change,-0.009918751470730125,-4.358700334661199e-5,-0.029807867825029394,-0.07425280104676338,-0.11204011884396725,0.08865846667589983,-0.17850461174633553,0.07425192903607863,NA,NA,NA,NA,NA,0,0,0
2,7,1997-01-26,2004-01-26,2005-01-25,2018-12-06,-0.3153790140365912,0.3634612140639037,0.12319623849941327,-0.004009111345502525,NA,NA,0.3085865056060939,NA,miscarriage,no_off_birth,-0.636797046660777,-0.03295407088875745,-0.37201886232187026,0.9296610855618678,1.1538282586283197,-0.0277168684168142,0.6786492432720432,0.5985631431690209,0.15938682782570146,0.019220387502016267,-0.4188162046884967,0.04174749252606691,0.122524017706233,0.5801256497072402,2.5790138832701155,1.340019054515433,-1.1395660662574896,-0.8377557618925611,3.24325648885873,0.16175601445660737,at_moms_rank,focal_above_daughters_rank,no_change,NA,NA,NA,NA,NA,NA,NA,NA,-0.005392560735615708,-4.2704479332847644e-4,-0.11673690269624745,0.05947464292729049,-0.06319941437306964,0,0,0
